22.21	8015
23.29	22757
26.11	7201
29.16	10460
29.59	11998
29.95	17363
29.95	17363
32.01	9654
32.18	17092
32.5	23047
33.76	10368
34.87	23402
36	17778
36	17778
36.02	16519
36.38	8659
37.03	9290
37.79	16936
38.24	15429
38.49	13511
39.08	11771
39.43	16485
39.83	13056
40.99	12930
41.47	14469
42.15	13761
42.53	13873
42.83	27551
42.85	13303
42.85	13303
42.92	16776
42.92	16776
43.04	8946
43.28	21026
43.53	10338
43.65	16954
43.78	15076
43.87	10942
44	14319
44.09	8551
44.35	17813
44.36	16231
44.36	16231
44.42	10851
44.68	12086
44.77	20550
44.78	10496
44.99	8225
45.1	14302
45.1	14302
45.23	17909
46.13	13441
46.16	19065
46.74	22465
46.92	20674
47.51	13366
47.54	13884
47.76	8962
47.78	12558
47.8	10042
47.81	14119
47.81	14119
47.99	7919
47.99	7919
48.01	16664
48.16	13912
48.26	20929
48.26	20929
48.28	13464
48.41	27474
48.47	9058
48.63	25294
48.63	25294
48.66	28566
48.66	28566
48.92	8341
49.02	17340
49.03	17337
49.15	18310
49.29	18057
49.51	15351
49.8	18575
49.91	14226
50.19	29090
50.22	7547
50.29	12329
50.34	19071
50.78	26586
50.83	13575
51.08	14488
51.17	28533
51.17	27849
51.17	27849
51.42	20810
51.58	15704
51.75	11943
51.75	11943
51.8	11197
52	10289
52.11	20054
52.13	13045
52.19	16479
52.49	13908
52.51	18854
52.85	14192
52.85	14135
52.9	16258
53.04	14895
53.4	13484
53.41	10298
53.41	11609
53.5	15141
53.87	12067
53.92	15672
54.44	11114
54.59	28028
54.59	28028
54.63	14461
54.76	10775
55.15	14144
55.18	15223
55.26	9411
55.28	7055
55.82	18274
55.91	22358
55.91	21821
55.99	9645
56.1	11230
56.24	13336
56.27	15462
56.27	16173
56.27	15959
56.33	23966
56.39	18621
56.39	18621
56.42	10458
56.55	12909
56.61	12719
56.64	12624
56.77	15678
56.82	13728
56.91	13179
56.98	16673
57.01	8210
57.08	11038
57.13	11378
57.33	12036
57.37	15340
57.59	21011
57.72	10915
57.72	16633
57.72	16633
57.79	15488
57.79	15574
57.94	8285
58.05	11715
58.41	18319
58.48	14022
58.86	10364
58.89	8151
59	7119
59.14	14035
59.19	14023
59.25	9587
59.25	9587
59.36	17436
59.46	11269
59.46	11269
59.47	13453
59.52	13945
59.63	5367
59.67	15586
59.79	9367
59.79	9367
59.92	9680
59.92	9513
60.08	14981
60.31	13099
60.58	12628
60.7	8073
60.73	10704
60.86	12620
61.09	7858
61.33	17936
61.48	7320
62.01	8548
62.01	8548
62.17	17051
62.17	16729
62.65	22347
62.7	9729
62.83	22760
62.86	21954
62.94	11742
63.04	15229
63.04	15229
63.23	8383
63.3	12560
63.41	12932
63.43	10847
63.52	15744
63.83	25537
63.85	9711
63.87	7813
63.87	7813
63.91	21906
63.92	12594
64.01	16560
64.01	16560
64.13	15204
64.24	7784
64.4	12578
64.49	13801
64.49	13801
64.56	15180
64.76	8571
64.89	13408
64.9	10170
65.1	7988
65.13	12882
65.15	11973
65.21	10858
65.58	19214
65.63	19809
66.11	11345
66.13	19129
66.18	24177
66.25	12967
66.39	15364
66.51	23155
66.6	12463
66.6	12463
66.6	22823
66.67	8685
66.73	17983
66.97	11648
67.15	16084
67.39	11427
67.41	11720
67.45	9860
67.65	9609
67.65	9609
67.81	10471
68.07	12635
68.32	7465
68.44	13677
68.96	13748
69.3	19337
69.32	8079
69.49	11225
69.82	12031
69.86	18466
69.98	12004
70.17	14679
70.53	7076
70.57	12045
70.6	22380
70.68	18393
70.85	14821
71.08	8723
71.08	24339
71.1	12659
