名称,地址,细节,单价(元/m^2)
保利曲江春天里 ,曲江,4室2厅 | 110.47平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,"24,894元/平"
中铁缤纷南郡 ,陕西大会堂,3室2厅 | 125.21平米 | 南 北 | 精装 | 33层  | 板塔结合,"23,641元/平"
曲江春晓苑 ,曲江,2室1厅 | 98.56平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,"22,829元/平"
太阳新城 ,长安,1室0厅 | 47.78平米 | 北 | 精装 | 高楼层(共23层)  | 塔楼,"12,558元/平"
澜泊湾 ,临潼,3室2厅 | 55.18平米 | 西 | 精装 | 高楼层(共18层)  | 板塔结合,"15,223元/平"
海荣名城 ,经开北,2室1厅 | 71.74平米 | 北 | 简装 | 高楼层(共33层)  | 塔楼,"14,637元/平"
紫薇西棠北区 ,城西,3室1厅 | 118.4平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,"18,835元/平"
海璟时代 ,经开南,1室1厅 | 52.85平米 | 北 西 | 精装 | 中楼层(共33层)  | 板塔结合,"14,192元/平"
群星莱骊三期 ,临潼,2室1厅 | 86.59平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,"9,008元/平"
万科高新华府 ,雁南,3室1厅 | 91.83平米 | 东南 西南 | 其他 | 中楼层(共33层)  | 板塔结合,"19,275元/平"
华远君城 ,城北,1室1厅 | 63.52平米 | 西 | 精装 | 高楼层(共32层)  | 板楼,"15,744元/平"
御笔华庭 ,城西,2室1厅 | 77.11平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,"15,109元/平"
首创国际城 ,经开北,2室1厅 | 90.5平米 | 南 | 简装 | 低楼层(共34层)  | 板塔结合,"13,481元/平"
首创国际城 ,经开北,2室1厅 | 86.78平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,"15,211元/平"
汉杰枫尚 ,城西,2室1厅 | 71.99平米 | 北 | 简装 | 高楼层(共27层)  | 板塔结合,"10,002元/平"
中铁缤纷南郡 ,陕西大会堂,2室1厅 | 86.74平米 | 南 | 简装 | 33层  | 板塔结合,"24,557元/平"
金泰怡景花园 ,城西,1室1厅 | 49.02平米 | 南 | 精装 | 中楼层(共20层)  | 板塔结合,"17,340元/平"
满堂悦MOMA ,锦业路,1室1厅 | 52.03平米 | 西南 | 精装 | 33层  | 板塔结合,"20,181元/平"
西七路508号院 ,城内,3室1厅 | 60.82平米 | 南 北 | 其他 | 低楼层(共7层)  | 板塔结合,"20,553元/平"
西大街277号 ,城内,2室1厅 | 99.4平米 | 南 北 | 简装 | 低楼层(共1层)  | 暂无数据,"10,061元/平"
智慧新城 ,长安,2室1厅 | 71.58平米 | 东 | 精装 | 高楼层(共12层)  | 板塔结合,"16,905元/平"
仕嘉公寓A区（绿地世纪城） ,锦业路,1室1厅 | 63.91平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,"21,906元/平"
仕嘉公寓A区（绿地世纪城） ,锦业路,1室1厅 | 48.63平米 | 北 | 精装 | 中楼层(共32层)  | 板塔结合,"25,294元/平"
阳光北郡 ,城北,2室1厅 | 88.06平米 | 西南 | 简装 | 高楼层(共33层)  | 板塔结合,"11,129元/平"
恒大绿洲 ,安装四处,2室2厅 | 83.34平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,"16,079元/平"
金辉悦府 ,城西,2室2厅 | 81.7平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,"20,564元/平"
裕昌太阳城 ,城南,2室2厅 | 96.35平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,"16,399元/平"
华府新桃园 ,唐延路,2室1厅 | 90.3平米 | 北 | 精装 | 中楼层(共32层)  | 塔楼,"13,068元/平"
竹园阳光嘉苑 ,雁南,2室2厅 | 96.41平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,"15,144元/平"
冠诚国际 ,科技六路,2室1厅 | 93.54平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,"19,671元/平"
铭城16号 ,城南,2室2厅 | 109.11平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,"15,123元/平"
唐韵三坊 ,城东,2室2厅 | 73.09平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,"13,409元/平"
尚品花都 ,科技六路,3室2厅 | 121平米 | 南 北 | 精装 | 中楼层(共23层)  | 板塔结合,"19,835元/平"
天马小区(新城区) ,安装四处,3室2厅 | 125.41平米 | 南 北 | 其他 | 中楼层(共28层)  | 板塔结合,"9,968元/平"
易道郡玫瑰公馆一期 ,鱼化寨,2室2厅 | 86.66平米 | 东南 | 简装 | 31层  | 塔楼,"11,424元/平"
枫林九溪竹韵 ,国际港务区,3室1厅 | 92.96平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,"20,224元/平"
保利天悦二期 ,鱼化寨,3室2厅 | 139.24平米 | 南 北 | 精装 | 28层  | 板楼,"35,910元/平"
恒大江湾 ,国际港务区,3室2厅 | 104.45平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,"15,319元/平"
紫薇花园洲 ,世博园,2室2厅 | 81.75平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,"16,270元/平"
中铁一局集团太乙路东院小区 ,城东,2室1厅 | 70.42平米 | 南 北 | 其他 | 低楼层(共5层)  | 暂无数据,"16,047元/平"
明德门(南东区) ,城南,3室1厅 | 72.46平米 | 东 南 北 | 简装 | 低楼层(共7层)  | 板楼,"11,317元/平"
中国建筑西北设计研究院家属院 ,城内,3室2厅 | 85.73平米 | 南 北 | 精装 | 高楼层(共4层)  | 暂无数据,"27,529元/平"
万科金色悦城 ,城西,3室2厅 | 89.27平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,"22,741元/平"
阳光公寓 ,高新一中,2室2厅 | 86.41平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,"15,624元/平"
金辉C园 ,城西,2室2厅 | 84.12平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,"17,357元/平"
盛世长安 ,长安,3室2厅 | 95.48平米 | 南 东南 | 精装 | 高楼层(共30层)  | 板塔结合,"16,967元/平"
保吉巷小区 ,城内,2室1厅 | 56.82平米 | 南 | 简装 | 低楼层(共7层)  | 平房,"13,728元/平"
金泰新理城 ,陕西大会堂,3室2厅 | 125.9平米 | 南 | 精装 | 23层  | 板楼,"26,688元/平"
旭景碧泽园 ,高新六路,3室2厅 | 103.9平米 | 东北 | 精装 | 低楼层(共12层)  | 板楼,"15,207元/平"
都市印象 ,高新六路,2室2厅 | 92.79平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,"20,800元/平"
龙腾华府 ,安装四处,2室1厅 | 85.41平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,"16,158元/平"
泰华世纪新城Ⅱ ,李家村,2室1厅 | 79.75平米 | 东 东北 | 简装 | 中楼层(共31层)  | 板塔结合,"15,674元/平"
枫韵蓝湾 ,高新六路,2室1厅 | 88.95平米 | 西 | 精装 | 16层  | 板塔结合,"14,000元/平"
铂廷 ,城北,2室2厅 | 77.35平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,"16,161元/平"
雅逸新城二期 ,城西,3室1厅 | 80.72平米 | 东南 | 精装 | 低楼层(共33层)  | 板塔结合,"11,770元/平"
劳动小区 ,城西,2室2厅 | 67.39平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,"11,427元/平"
圣合家园靖宁小区 ,长安,3室1厅 | 123.58平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,"14,242元/平"
青年路20号建行家属院 ,城内,2室1厅 | 61.46平米 | 东 | 其他 | 中楼层(共6层)  | 暂无数据,"12,692元/平"
翠屏湾1期 ,矿山路,2室2厅 | 89.46平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,"13,191元/平"
高山流水和城 ,都市之门,2室1厅 | 88.92平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,"8,188元/平"
西窑坊小区 ,城东,1室1厅 | 44.42平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,"10,851元/平"
华城泊郡 ,城南,3室2厅 | 111.67平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,"17,910元/平"
海璟时代 ,经开南,1室1厅 | 52.49平米 | 北 | 简装 | 中楼层(共33层)  | 板楼,"13,908元/平"
百花一村 ,城西,2室1厅 | 56.92平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,"7,555元/平"
华府新桃园 ,唐延路,2室1厅 | 90.3平米 | 北 | 精装 | 中楼层(共32层)  | 塔楼,"13,068元/平"
铭城16号 ,城南,2室2厅 | 109.11平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,"15,123元/平"
招商依云曲江 ,曲江,2室2厅 | 75.59平米 | 东南 | 其他 | 高楼层(共33层)  | 板塔结合,"22,226元/平"
魏玛公馆 ,经开北,2室1厅 | 51.17平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,"28,533元/平"
阳光北郡 ,城北,2室1厅 | 88.06平米 | 西南 | 简装 | 高楼层(共33层)  | 板塔结合,"11,129元/平"
仕嘉公寓A区（绿地世纪城） ,锦业路,1室1厅 | 48.63平米 | 北 | 精装 | 中楼层(共32层)  | 板塔结合,"25,294元/平"
玫瑰坊 ,城东,2室1厅 | 80.52平米 | 西 北 | 其他 | 低楼层(共24层)  | 塔楼,"12,233元/平"
汇通太古城·青都新界 ,经开北,2室1厅 | 83.22平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,"17,064元/平"
中航工业自控所生活一三区 ,城南,2室1厅 | 56.64平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,"12,624元/平"
翠华小区 ,长安,2室1厅 | 95.45平米 | 东 | 简装 | 低楼层(共18层)  | 板塔结合,"10,058元/平"
万科金域曲江一期 ,曲江,2室2厅 | 78.5平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,"25,351元/平"
紫薇田园都市D区 ,紫薇田园都市,2室2厅 | 98.42平米 | 南 北 | 精装 | 12层  | 板塔结合,"18,188元/平"
宏林名筑 ,城北,2室1厅 | 84.12平米 | 南 | 简装 | 低楼层(共30层)  | 塔楼,"10,224元/平"
金地西沣公元 ,雁南,2室2厅 | 76.72平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,"20,204元/平"
华远海蓝城三期 ,广泰门,2室1厅 | 80.35平米 | 南 | 简装 | 中楼层(共20层)  | 板楼,"17,549元/平"
桃苑御景新城 ,临潼,3室2厅 | 119.96平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,"7,253元/平"
群星汇 ,城南,2室2厅 | 78.63平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,"17,297元/平"
浐灞半岛A4区 ,浐河西路,2室2厅 | 90.32平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,"14,172元/平"
浐灞半岛A4区 ,浐河西路,3室2厅 | 137.31平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,"15,877元/平"
融创天朗融公馆 ,雁鸣湖,2室2厅 | 76.81平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,"18,097元/平"
高科花园二三期 ,高新四路,2室1厅 | 89.36平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,"26,858元/平"
尚平路2号 ,城内,2室1厅 | 35.06平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,"35,939元/平"
皇家花园 ,高新一中,2室1厅 | 66.73平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,"17,983元/平"
雅居乐铂琅峯 ,长安,3室2厅 | 89.66平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,"21,749元/平"
中铁电化局清华苑 ,城东,2室1厅 | 74.76平米 | 南 北 | 简装 | 中楼层(共7层)  | 塔楼,"8,628元/平"
太白小区 ,城南,2室2厅 | 81.22平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,"13,790元/平"
榕青无界 ,城南,2室1厅 | 56.55平米 | 西 | 精装 | 低楼层(共28层)  | 塔楼,"12,909元/平"
紫薇田园都市J区 ,紫薇田园都市,3室2厅 | 137.7平米 | 南 北 | 精装 | 中楼层(共20层)  | 板楼,"17,067元/平"
浪琴湾 ,经开北,2室1厅 | 87.9平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,"14,221元/平"
华城泊郡 ,城南,3室2厅 | 111.67平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,"17,910元/平"
高山流水和城 ,都市之门,2室1厅 | 88.92平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,"8,188元/平"
鼎正中央领郡 ,经开北,3室1厅 | 102.01平米 | 南 | 简装 | 中楼层(共32层)  | 板塔结合,"22,743元/平"
永宁小区56号家属院 ,南稍门,2室1厅 | 81平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,"10,000元/平"
万科城·二期 ,长安,3室2厅 | 89.07平米 | 南 北 | 其他 | 低楼层(共33层)  | 板塔结合,"24,251元/平"
长安中央广场 ,长安,2室2厅 | 89.15平米 | 南 西南 | 简装 | 中楼层(共18层)  | 板塔结合,"14,414元/平"
土地管理局家属院(碑林) ,李家村,2室2厅 | 106.9平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,"9,636元/平"
翠屏湾1期 ,矿山路,2室2厅 | 89.46平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,"13,191元/平"
天赐颐府 ,长安,3室2厅 | 155.01平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,"20,322元/平"
海亮新英里 ,雁南,3室1厅 | 91.25平米 | 南 北 | 简装 | 低楼层(共33层)  | 板塔结合,"22,247元/平"
金地翔悦天下 ,曲江,2室2厅 | 76.42平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,"23,162元/平"
万科金色悦城 ,城西,2室2厅 | 81平米 | 南 | 简装 | 低楼层(共29层)  | 板楼,"17,655元/平"
保利曲江春天里 ,曲江,3室2厅 | 103.09平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,"23,281元/平"
德福巷 ,城内,3室2厅 | 83.04平米 | 南 | 其他 | 中楼层(共4层)  | 暂无数据,"11,802元/平"
融创天朗珑府 ,雁南,3室2厅 | 90.96平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,"24,704元/平"
金辉世界城C区 ,曲江,3室1厅 | 121.16平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,"24,596元/平"
恒基碧翠锦华 ,城东,3室1厅 | 111.67平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,"17,821元/平"
城市锦上 ,经开南,3室1厅 | 99.23平米 | 东南 | 其他 | 中楼层(共33层)  | 板塔结合,"23,784元/平"
翠屏湾二期 ,矿山路,3室1厅 | 109.77平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,"13,483元/平"
瑞华苑 ,城东,3室2厅 | 136.1平米 | 东南 | 简装 | 低楼层(共7层)  | 板楼,"8,230元/平"
万华园丽景华都 ,经开北,3室1厅 | 118.76平米 | 南 | 简装 | 中楼层(共18层)  | 塔楼,"11,200元/平"
海璟台北湾南区 ,经开南,1室0厅 | 59.46平米 | 南 北 | 简装 | 中楼层(共33层)  | 板塔结合,"11,269元/平"
银凯家园 ,经开南,3室2厅 | 123.08平米 | 东 南 北 | 其他 | 低楼层(共12层)  | 板塔结合,"11,213元/平"
省文化广厦 ,李家村,3室1厅 | 121.94平米 | 南 | 简装 | 中楼层(共30层)  | 板塔结合,"12,712元/平"
融侨城 ,唐延路,2室1厅 | 90.13平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,"18,085元/平"
西岸国际花园西苑 ,广泰门,2室2厅 | 82.57平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,"15,260元/平"
中贸广场 ,南稍门,2室1厅 | 64.49平米 | 西 | 精装 | 低楼层(共27层)  | 板塔结合,"13,801元/平"
西安市启智学校家属院 ,黄雁村,2室1厅 | 55平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,"11,091元/平"
曲江风景线 ,曲江,2室2厅 | 93.87平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,"22,905元/平"
浐灞半岛A4区 ,浐河西路,3室2厅 | 120.7平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板塔结合,"14,251元/平"
浐灞新城二期 ,纺织城,3室1厅 | 104.09平米 | 南 北 | 其他 | 低楼层(共16层)  | 板塔结合,"11,433元/平"
新文巷小区 ,南稍门,5室3厅 | 266.85平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,"7,046元/平"
曲江明珠 ,曲江,3室2厅 | 136.33平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,"15,404元/平"
交警支队社区 ,太白南路,3室2厅 | 132.55平米 | 东 | 精装 | 低楼层(共23层)  | 塔楼,"10,940元/平"
碧桂园凤凰城 ,经开北,3室2厅 | 118.55平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,"17,293元/平"
嘉华住宅小区 ,长安,3室2厅 | 145.77平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,"9,262元/平"
富力白鹭湾南区 ,浐灞周边,4室2厅 | 139平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,"12,950元/平"
振业泊岸 ,世博园,4室2厅 | 138.17平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,"20,844元/平"
紫薇田园都市F区 ,紫薇田园都市,7室3厅 | 200.21平米 | 南 | 精装 | 低楼层(共3层)  | 板塔结合,"41,757元/平"
融创天朗融公馆 ,雁鸣湖,4室2厅 | 142.59平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,"24,266元/平"
普华浅水湾 ,纺织城,4室2厅 | 141.13平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,"12,684元/平"
蓝光公园华府三期 ,西咸,3室1厅 | 124.56平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,"11,481元/平"
浐灞半岛A11区 ,浐河西路,4室2厅 | 158.36平米 | 南 | 精装 | 低楼层(共3层)  | 板塔结合,"21,155元/平"
碧桂园凤凰城·豪园 ,经开北,3室2厅 | 128.55平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,"15,714元/平"
世纪花园 ,城南,3室2厅 | 146.29平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,"11,416元/平"
振业泊公馆 ,浐河西路,4室2厅 | 139.81平米 | 南 北 | 精装 | 中楼层(共31层)  | 板塔结合,"15,235元/平"
华城万象 ,城南,4室2厅 | 135.68平米 | 东南 南 | 精装 | 中楼层(共29层)  | 板塔结合,"15,920元/平"
龙腾东篱雅舍 ,临潼,2室2厅 | 100.18平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,"7,287元/平"
蔚蓝花城七色镇B区 ,城西,2室2厅 | 89.86平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,"15,024元/平"
中铁缤纷南郡 ,陕西大会堂,2室2厅 | 91.36平米 | 南 | 精装 | 33层  | 板塔结合,"23,205元/平"
浐灞半岛A10区 ,浐河西路,2室2厅 | 92.84平米 | 东南 | 简装 | 低楼层(共18层)  | 板塔结合,"12,657元/平"
龙城铭园二期 ,鱼化寨,2室1厅 | 68.98平米 | 北 | 精装 | 32层  | 板塔结合,"18,412元/平"
金仕大厦小区 ,城西,2室1厅 | 68.96平米 | 东南 | 简装 | 高楼层(共24层)  | 塔楼,"13,748元/平"
车城温泉花园 ,高陵,1室1厅 | 52.52平米 | 东 | 其他 | 高楼层(共24层)  | 塔楼,"8,378元/平"
宏府鹍翔九天 ,城西,2室1厅 | 85.74平米 | 西 南 | 精装 | 中楼层(共33层)  | 塔楼,"15,338元/平"
旭景崇盛园 ,经开北,2室2厅 | 83.22平米 | 东 | 精装 | 低楼层(共33层)  | 板塔结合,"13,819元/平"
华城国际小区 ,城南,1室1厅 | 53.4平米 | 北 | 简装 | 中楼层(共30层)  | 板塔结合,"13,484元/平"
御锦城智慧树 ,浐河西路,2室2厅 | 84.65平米 | 西南 | 精装 | 高楼层(共33层)  | 板塔结合,"17,484元/平"
曲江春晓苑 ,曲江,2室1厅 | 98.56平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,"22,829元/平"
中铁缤纷南郡 ,陕西大会堂,6室2厅 | 147.96平米 | 南 北 | 精装 | 33层  | 板楼,"27,846元/平"
中铁琉森水岸 ,世博园,4室3厅 | 228.88平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,"15,074元/平"
自然界云栖 ,浐河西路,4室1厅 | 137.86平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,"22,342元/平"
桃源漫步 ,浐河西路,3室2厅 | 112.12平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,"17,705元/平"
蔚蓝花城 ,城西,3室3厅 | 126.42平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,"10,916元/平"
紫薇花园洲 ,世博园,4室2厅 | 163.33平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 板楼,"18,736元/平"
白桦林居小区 ,经开北,3室2厅 | 148.35平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,"26,964元/平"
普华浅水湾 ,纺织城,4室2厅 | 144.48平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,"14,951元/平"
锦绣天下一期 ,经开北,3室2厅 | 126.92平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 板楼,"13,749元/平"
金泰假日花城 ,城南,5室2厅 | 232.96平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,"23,610元/平"
富力白鹭湾南区 ,浐灞周边,4室2厅 | 139.09平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,"12,654元/平"
新天地小区 ,城南,3室2厅 | 162.05平米 | 西南 | 精装 | 25层  | 塔楼,"10,059元/平"
恒大江湾 ,国际港务区,3室2厅 | 129.25平米 | 南 北 | 精装 | 低楼层(共9层)  | 板塔结合,"18,569元/平"
金裕青青家园 ,浐河西路,4室2厅 | 180.93平米 | 东 西南 | 简装 | 中楼层(共11层)  | 塔楼,"7,351元/平"
世家星城1期 ,城南,4室2厅 | 133.62平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,"16,091元/平"
龙湖香醍国际社区 ,安装四处,5室2厅 | 300.91平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板塔结合,"17,448元/平"
林邑 ,矿山路,4室2厅 | 130.26平米 | 南 北 东 | 精装 | 高楼层(共27层)  | 板楼,"18,809元/平"
中海太华府 ,经开南,4室2厅 | 190.62平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,"23,608元/平"
紫薇风尚东区 ,经开北,4室2厅 | 176.05平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,"16,019元/平"
碧桂园凤凰城·豪园 ,经开北,3室2厅 | 124.78平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,"16,670元/平"
中天锦庭 ,城北,3室2厅 | 132.34平米 | 南 北 | 其他 | 中楼层(共34层)  | 板塔结合,"16,247元/平"
水榭花都 ,高陵,3室2厅 | 115平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,"4,244元/平"
曲江城市花园 ,曲江,4室2厅 | 170.65平米 | 南 北 | 精装 | 15层  | 板楼,"16,936元/平"
自然界云栖 ,浐河西路,4室1厅 | 149.12平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 板楼,"23,472元/平"
浐灞半岛A14区 ,浐河西路,3室1厅 | 141.08平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,"14,659元/平"
竹园 ,长安,4室2厅 | 222.14平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,"6,753元/平"
北沙庄园 ,城东,3室2厅 | 136.72平米 | 东南 | 简装 | 中楼层(共30层)  | 塔楼,"10,606元/平"
西航花园 ,国际港务区,4室3厅 | 166.19平米 | 南 北 | 其他 | 低楼层(共2层)  | 板楼,"9,026元/平"
浐灞半岛A11区 ,浐河西路,6室2厅 | 299.48平米 | 东 东南 南 北 | 毛坯 | 3层  | 板塔结合,"27,712元/平"
浐灞1号 ,广泰门,4室2厅 | 159.71平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,"14,089元/平"
中贸广场 ,南稍门,2室1厅 | 64.49平米 | 西 | 精装 | 低楼层(共27层)  | 板塔结合,"13,801元/平"
中海·曲江碧林湾 ,曲江,3室2厅 | 128.83平米 | 南 北 | 精装 | 低楼层(共34层)  | 板塔结合,"22,123元/平"
碧桂园凤凰城 ,经开北,4室2厅 | 129.66平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,"32,779元/平"
浐灞半岛A10区 ,浐河西路,3室2厅 | 161.38平米 | 南 | 精装 | 高楼层(共23层)  | 板塔结合,"12,518元/平"
爱尚泾渭 ,高陵,1室1厅 | 26.11平米 | 西北 | 毛坯 | 高楼层(共16层)  | 板塔结合,"7,201元/平"
龙江国际城 ,高陵,2室1厅 | 87平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,"5,736元/平"
绿城桂语蘭庭 ,草滩,3室2厅 | 127.43平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 塔楼,"16,873元/平"
旭景清园 ,经开北,3室1厅 | 109.66平米 | 北 南 | 简装 | 高楼层(共33层)  | 板楼,"16,579元/平"
合能十里锦绣二期 ,雁鸣湖,3室2厅 | 89.43平米 | 南 北 | 精装 | 低楼层(共34层)  | 板塔结合,"15,644元/平"
保利和光尘樾 ,西咸,3室2厅 | 103.35平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,"16,353元/平"
文景观园 ,经开南,3室2厅 | 133.15平米 | 东南 南 | 精装 | 高楼层(共27层)  | 板塔结合,"15,772元/平"
华豪花园洋房 ,未央湖,4室1厅 | 160.51平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,"9,034元/平"
绿地峰辉二期 ,经开南,3室1厅 | 98.04平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,"16,320元/平"
首创国际城 ,经开北,4室1厅 | 147.6平米 | 南 北 | 精装 | 中楼层(共28层)  | 板塔结合,"17,616元/平"
绿地璀璨天城 ,国际港务区,3室2厅 | 120.24平米 | 南 北 | 其他 | 高楼层(共31层)  | 板塔结合,"13,390元/平"
龙湖·天鉅 ,长安,3室2厅 | 181.29平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,"30,780元/平"
中海太华府 ,经开南,3室2厅 | 97.83平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,"21,057元/平"
高新水晶城 ,高新一中,2室1厅 | 78.18平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,"26,606元/平"
莲湖路249号 ,城内,2室1厅 | 56.56平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,"7,744元/平"
台北湾北区 ,经开南,2室2厅 | 108.49平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,"13,089元/平"
天马小区(新城区) ,安装四处,2室1厅 | 80.63平米 | 东南 | 简装 | 中楼层(共28层)  | 板楼,"10,542元/平"
华润置地·悦府 ,曲江,4室2厅 | 160.95平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,"36,906元/平"
吉源美郡国际城 ,长安,4室2厅 | 133.54平米 | 南 北 | 其他 | 低楼层(共22层)  | 板楼,"14,902元/平"
华润置地未来城市DK3 ,国际港务区,4室2厅 | 142.84平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,"24,153元/平"
东尚小区 ,城东,3室1厅 | 136.62平米 | 东南 | 精装 | 高楼层(共22层)  | 板塔结合,"16,250元/平"
隆基泰和万和郡 ,西咸,3室2厅 | 95.93平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 暂无数据,"8,131元/平"
